dataset	shot	old_accuracy	delta	new_accuracy
ElectricDevices	1	0.3332468768	0.0380269605	0.2952199163
ElectricDevices	5	0.4252799032	0.0375055716	0.3877743316
EthanolLevel	10	0.2620000000	0.0342026645	0.2277973355
EthanolLevel	5	0.2760000000	0.0337027412	0.2422972588
FaceAll	1	0.2694280079	0.0398780994	0.2295499085
FaceAll	2	0.3258382643	0.0422047153	0.2836335490
FaceFour	1	0.5151515152	0.0451703868	0.4699811284
FaceFour	5	0.6893939394	0.0475050817	0.6418888577
FacesUCR	1	0.4614634146	0.0765715247	0.3848918899
FacesUCR	2	0.4606504065	0.0736040222	0.3870463843
FiftyWords	2	0.3443223443	0.0568948214	0.2874275229
FiftyWords	5	0.4717948718	0.0582997151	0.4134951567
Fish	1	0.3466666667	0.0664932792	0.2801733875
Fish	5	0.5409523810	0.0649980912	0.4759542898
FordA	10	0.5058080808	0.0350377519	0.4707703289
FordA	2	0.5194444444	0.0374166377	0.4820278067
FordB	1	0.5226337449	0.0317343408	0.4908994041
FordB	2	0.4917695473	0.0306817554	0.4610877919
FreezerRegularTrain	10	0.7964912281	0.0779402876	0.7185509405
FreezerRegularTrain	5	0.7385964912	0.0779846247	0.6606118665
FreezerSmallTrain	10	0.7741520468	0.0460768293	0.7280752175
FreezerSmallTrain	5	0.7484210526	0.0460163760	0.7024046766
Fungi	2	0.7885304659	0.0306926128	0.7578378531
Fungi	5	0.7365591398	0.0314912414	0.7050678984
GestureMidAirD1	1	0.3025641026	0.0565551829	0.2460089197
GestureMidAirD1	5	0.4333333333	0.0578808977	0.3754524356
GestureMidAirD2	2	0.3692307692	0.0586165572	0.3106142120
GestureMidAirD2	5	0.4205128205	0.0604773449	0.3600354756
GestureMidAirD3	1	0.1769230769	0.0725814021	0.1043416748
GestureMidAirD3	5	0.2333333333	0.0699815093	0.1633518240
GesturePebbleZ1	2	0.3875968992	0.0319676327	0.3556292665
GesturePebbleZ1	5	0.5562015504	0.0331362767	0.5230652737
GesturePebbleZ2	1	0.3523206751	0.0338746936	0.3184459815
GesturePebbleZ2	10	0.6687763713	0.0324389178	0.6363374535
GunPoint	1	0.5888888889	0.0516257342	0.5372631547
GunPoint	2	0.6133333333	0.0526351325	0.5606982008
GunPointAgeSpan	10	0.7436708861	0.0476138020	0.6960570841
GunPointAgeSpan	5	0.7415611814	0.0468999715	0.6946612099
GunPointMaleVersusFemale	10	0.9810126582	0.0424425339	0.9385701243
GunPointMaleVersusFemale	2	0.8871308017	0.0435730585	0.8435577432
GunPointOldVersusYoung	10	0.8433862434	0.0447839098	0.7986023336
GunPointOldVersusYoung	2	0.6380952381	0.0450752395	0.5930199986
Ham	1	0.5142857143	0.0463561510	0.4679295633
Ham	5	0.5555555556	0.0458984465	0.5096571091
HandOutlines	1	0.5972972973	0.0519361547	0.5453611426
HandOutlines	10	0.6963963964	0.0500456112	0.6463507852
Haptics	2	0.2857142857	0.0775397027	0.2081745830
Haptics	5	0.3333333333	0.0772091254	0.2561242079
Herring	10	0.5572916667	0.0792230439	0.4780686228
Herring	5	0.4583333333	0.0747614898	0.3835718435
HouseTwenty	1	0.6582633053	0.0615840239	0.5966792814
HouseTwenty	2	0.6134453782	0.0628613222	0.5505840560
InlineSkate	1	0.1521212121	0.0427219082	0.1093993039
InlineSkate	5	0.2539393939	0.0470795759	0.2068598180
InsectEPGRegularTrain	1	0.5528781794	0.0761003400	0.4767778394
InsectEPGRegularTrain	2	0.6331994645	0.0782276592	0.5549718053
InsectEPGSmallTrain	2	0.5850066934	0.0402972630	0.5447094304
InsectEPGSmallTrain	5	0.7523427041	0.0418967632	0.7104459409
InsectWingbeatSound	10	0.3868686869	0.0594039714	0.3274647155
InsectWingbeatSound	5	0.3336700337	0.0588337367	0.2748362970
ItalyPowerDemand	10	0.9138321995	0.0561788398	0.8576533597
ItalyPowerDemand	5	0.8862973761	0.0604072637	0.8258901124
LargeKitchenAppliances	2	0.4195555556	0.0479770691	0.3715784865
LargeKitchenAppliances	5	0.5297777778	0.0503769603	0.4794008175
Lightning2	1	0.5300546448	0.0720023063	0.4580523385
Lightning2	2	0.5846994536	0.0711791038	0.5135203498
Lightning7	2	0.5479452055	0.0366481156	0.5112970899
Lightning7	5	0.6392694064	0.0347578580	0.6045115484
Mallat	1	0.5920398010	0.0339926485	0.5580471525
Mallat	5	0.6598436389	0.0331504298	0.6266932091
Meat	1	0.4555555556	0.0711887288	0.3843668268
Meat	5	0.6111111111	0.0705329741	0.5405781370
MedicalImages	2	0.2947368421	0.0720182939	0.2227185482
MedicalImages	5	0.3820175439	0.0681956492	0.3138218947
MelbournePedestrian	10	0.6225228919	0.0530353673	0.5694875246
MelbournePedestrian	2	0.4440344403	0.0490394152	0.3949950251
MiddlePhalanxOutlineAgeGroup	10	0.5887445887	0.0386910939	0.5500534948
MiddlePhalanxOutlineAgeGroup	5	0.5324675325	0.0422698918	0.4901976407
MiddlePhalanxOutlineCorrect	2	0.4490263459	0.0771845086	0.3718418373
MiddlePhalanxOutlineCorrect	5	0.4994272623	0.0780944119	0.4213328504
MiddlePhalanxTW	1	0.3528138528	0.0411857706	0.3116280822
MiddlePhalanxTW	5	0.4199134199	0.0384695091	0.3814439108
MixedShapesRegularTrain	10	0.7407560137	0.0573562862	0.6833997275
MixedShapesRegularTrain	5	0.6919587629	0.0544386946	0.6375200683
MixedShapesSmallTrain	10	0.7495532646	0.0477523005	0.7018009641
MixedShapesSmallTrain	2	0.6152577320	0.0482013876	0.5670563444
MoteStrain	2	0.5931842386	0.0309095793	0.5622746593
MoteStrain	5	0.7989882854	0.0308060520	0.7681822334
NonInvasiveFetalECGThorax1	1	0.2453053787	0.0467122907	0.1985930880
NonInvasiveFetalECGThorax1	5	0.4641018009	0.0457759077	0.4183258932
NonInvasiveFetalECGThorax2	1	0.3964498179	0.0530946196	0.3433551983
NonInvasiveFetalECGThorax2	2	0.4687020562	0.0522998635	0.4164021927
OSULeaf	10	0.4944903581	0.0431136375	0.4513767206
OSULeaf	2	0.3223140496	0.0441592475	0.2781548021
OliveOil	1	0.3666666667	0.0785304834	0.2881361833
OliveOil	10	0.4000000000	0.0781645477	0.3218354523
PLAID	10	0.5698324022	0.0650323789	0.5048000233
PLAID	5	0.5071384233	0.0641329949	0.4430054284
PhalangesOutlinesCorrect	1	0.5306915307	0.0342461054	0.4964454253
PhalangesOutlinesCorrect	2	0.5271950272	0.0341517417	0.4930432855
Phoneme	10	0.1725130117	0.0342288561	0.1382841556
Phoneme	5	0.1582021406	0.0328418605	0.1253602801
PickupGestureWiimoteZ	1	0.4133333333	0.0454366724	0.3678966609
PickupGestureWiimoteZ	2	0.5866666667	0.0436647880	0.5430018787
PigAirwayPressure	2	0.0721113560	0.0523587793	0.0197525767
PigAirwayPressure	5	0.0769363563	0.0555991220	0.0213372343
PigArtPressure	1	0.1779356333	0.0695589238	0.1083767095
PigArtPressure	2	0.2500138592	0.0722932546	0.1777206046
PigCVP	1	0.1058065405	0.0771341215	0.0286724190
PigCVP	5	0.1587428428	0.0753740380	0.0833688048
Plane	1	0.9143240203	0.0500049130	0.8643191073
Plane	5	0.9999700971	0.0464666352	0.9535034619
PowerCons	1	0.7778357992	0.0323897853	0.7454460139
PowerCons	5	0.5222251191	0.0333005564	0.4889245627
ProximalPhalanxOutlineAgeGroup	10	0.7610018891	0.0455073877	0.7154945014
ProximalPhalanxOutlineAgeGroup	2	0.8146488789	0.0432736069	0.7713752720
ProximalPhalanxOutlineCorrect	1	0.5979495993	0.0649462050	0.5330033943
ProximalPhalanxOutlineCorrect	10	0.6289031123	0.0647997400	0.5641033723
ProximalPhalanxTW	2	0.3902151877	0.0640730878	0.3261420999
ProximalPhalanxTW	5	0.7317486655	0.0661491504	0.6655995151
RefrigerationDevices	10	0.4000497183	0.0401339248	0.3599157935
RefrigerationDevices	2	0.2640068247	0.0370232215	0.2269836032
Rock	1	0.2000320511	0.0462268716	0.1538051795
Rock	10	0.6400103205	0.0474553635	0.5925549570
ScreenType	10	0.3333079947	0.0631349763	0.2701730184
ScreenType	5	0.3573027790	0.0626677469	0.2946350321
SemgHandGenderCh2	10	0.7067370115	0.0556891943	0.6510478172
SemgHandGenderCh2	2	0.6817215837	0.0556784189	0.6260431648
SemgHandMovementCh2	1	0.2889062942	0.0466008578	0.2423054364
SemgHandMovementCh2	10	0.3778414952	0.0476065169	0.3302349783
SemgHandSubjectCh2	1	0.4156276858	0.0703542127	0.3452734731
SemgHandSubjectCh2	10	0.5689079825	0.0682136565	0.5006943260
ShakeGestureWiimoteZ	1	0.7000432609	0.0459636034	0.6540796575
ShakeGestureWiimoteZ	2	0.7200078882	0.0489977661	0.6710101221
ShapeletSim	10	0.9667388780	0.0676615942	0.8990772838
ShapeletSim	2	0.6111367893	0.0691521136	0.5419846757
ShapesAll	1	0.4650419342	0.0693995962	0.3956423380
ShapesAll	10	0.7183316362	0.0704156798	0.6479159564
SmallKitchenAppliances	1	0.5493052299	0.0324804327	0.5168247972
SmallKitchenAppliances	10	0.5440070656	0.0356774649	0.5083296007
SmoothSubspace	2	0.7733391503	0.0726010138	0.7007381365
SmoothSubspace	5	0.7600163255	0.0718649557	0.6881513698
SonyAIBORobotSurface1	1	0.6722045362	0.0714985331	0.6007060031
SonyAIBORobotSurface1	5	0.7088216278	0.0753004642	0.6335211636
SonyAIBORobotSurface2	2	0.6768457229	0.0642042201	0.6126415028
SonyAIBORobotSurface2	5	0.7387471201	0.0621234970	0.6766236231
StarLightCurves	1	0.6424256507	0.0722497606	0.5701758901
StarLightCurves	5	0.8565152192	0.0701488840	0.7863663352
Strawberry	1	0.5405203710	0.0445879289	0.4959324421
Strawberry	2	0.5459421025	0.0432943804	0.5026477221
SwedishLeaf	10	0.7424322235	0.0710036535	0.6714285700
SwedishLeaf	2	0.5648407259	0.0696811011	0.4951596248
Symbols	1	0.8603309406	0.0475110701	0.8128198705
Symbols	2	0.8010255711	0.0491782085	0.7518473626
SyntheticControl	10	0.9067282635	0.0378891413	0.8688391222
SyntheticControl	2	0.8067470301	0.0414094017	0.7653376284
ToeSegmentation1	10	0.7675312018	0.0704014200	0.6971297818
ToeSegmentation1	5	0.6754116577	0.0718799619	0.6035316958
ToeSegmentation2	2	0.7000458391	0.0536517991	0.6463940400
ToeSegmentation2	5	0.6692399432	0.0552415471	0.6139983961
Trace	1	0.9700268590	0.0506537955	0.9193730635
Trace	2	0.9999748149	0.0497545033	0.9502203116
TwoLeadECG	2	0.6414398595	0.0647349333	0.5767049262
TwoLeadECG	5	0.7041264267	0.0650929259	0.6390335008
TwoPatterns	10	0.6704500000	0.0469848458	0.6234651542
TwoPatterns	2	0.4042000000	0.0465727719	0.3576272281
UMD	10	0.8180555556	0.0479482436	0.7701073120
UMD	5	0.7986111111	0.0456210026	0.7529901085
UWaveGestureLibraryAll	1	0.3166387493	0.0736213415	0.2430174078
UWaveGestureLibraryAll	2	0.3855946399	0.0710020952	0.3145925447
UWaveGestureLibraryX	1	0.3466778336	0.0496898329	0.2969880007
UWaveGestureLibraryX	10	0.5543271915	0.0513203178	0.5030068737
UWaveGestureLibraryY	10	0.4917922948	0.0715281005	0.4202641943
UWaveGestureLibraryY	5	0.4431602457	0.0715667735	0.3715934722
UWaveGestureLibraryZ	1	0.3811076519	0.0738962559	0.3072113960
UWaveGestureLibraryZ	2	0.4157499156	0.0700271298	0.3457227858
Wafer	10	0.8050366585	0.0609585831	0.7440780754
Wafer	2	0.6707201890	0.0593362911	0.6113838979
Wine	10	0.4815230128	0.0316836214	0.4498393914
Wine	2	0.5741372022	0.0300000000	0.5441372022
WordSynonyms	10	0.3009470711	0.0608450163	0.2401020548
WordSynonyms	2	0.2179144720	0.0625511679	0.1553633041
Worms	10	0.4416465691	0.0675274453	0.3741191238
Worms	2	0.3506187769	0.0713519054	0.2792668715
WormsTwoClass	1	0.5455257161	0.0632977804	0.4822279357
WormsTwoClass	5	0.5195158753	0.0635469774	0.4559688979
Yoga	2	0.5520392266	0.0505210587	0.5015181679
Yoga	5	0.5320434272	0.0522450351	0.4797983921
